system,ticker,sector,task,latency_total,tool_calls,reasoning_steps,response_length,prompt_tokens,completion_tokens,completeness_score,specificity_score,financial_quality_score,reasoning_coherence,composite_quality_score,estimated_cost_usd,citation_density,factor_coverage,actionable_recommendations
rag,AAPL,Technology,prediction,4.475,0,1,741,623,105,100.0,40,31.67,100,67.92,0.000451,4.76,7,1
agent,AAPL,Technology,prediction,47.21,5,9,1735,8937,225,100.0,100,57.67,100,89.42,0.005451,9.78,10,2
hybrid,AAPL,Technology,prediction,11.366,1,6,1041,4116,140,100.0,100,34.33,90.0,81.58,0.002539,10.71,8,1
rag,AAPL,Technology,risk_analysis,6.886,0,1,805,586,109,100.0,40,50.0,45.0,61.5,0.000432,3.67,9,2
agent,AAPL,Technology,risk_analysis,50.051,5,11,1483,11660,199,100.0,100,37.0,30.0,70.25,0.007037,17.59,6,2
hybrid,AAPL,Technology,risk_analysis,8.958,2,4,945,2736,132,100.0,100,39.67,0,64.92,0.001719,15.91,7,2
rag,AAPL,Technology,opportunity,7.619,0,1,596,500,83,80.0,50,42.67,15.0,52.17,0.000361,6.02,7,3
agent,AAPL,Technology,opportunity,47.375,3,13,1458,13403,209,100.0,100,37.0,45.0,73.25,0.008073,15.79,9,1
hybrid,AAPL,Technology,opportunity,10.519,1,5,964,2885,137,80.0,100,39.67,15.0,63.92,0.00181,18.25,7,2
rag,MSFT,Technology,prediction,7.889,0,1,751,513,105,100.0,40,31.67,100,67.92,0.000386,4.76,7,1
agent,MSFT,Technology,prediction,33.992,3,11,1747,12914,224,100.0,100,57.67,100,89.42,0.007796,9.82,10,2
hybrid,MSFT,Technology,prediction,16.741,3,7,1049,4277,137,100.0,100,42.0,90.0,83.5,0.002632,11.68,9,1
rag,MSFT,Technology,risk_analysis,6.895,0,1,815,470,109,100.0,40,50.0,45.0,61.5,0.000363,3.67,9,2
agent,MSFT,Technology,risk_analysis,50.216,4,13,1494,12389,199,100.0,100,37.0,30.0,70.25,0.007467,17.59,6,2
hybrid,MSFT,Technology,risk_analysis,14.479,3,4,942,3328,129,100.0,100,37.0,0,64.25,0.002065,17.05,6,2
